Link,Status,User_ID
https://www.facebook.com/groups/796966840881012/user/500870757/,1,500870757
https://www.facebook.com/groups/796966840881012/user/504952081/,1,504952081
https://www.facebook.com/groups/796966840881012/user/506109407/,1,506109407
https://www.facebook.com/groups/358605415915372/user/532650813/,1,532650813
https://www.facebook.com/groups/796966840881012/user/563282455/,1,563282455
https://www.facebook.com/groups/358605415915372/user/563653473/,1,563653473
https://www.facebook.com/groups/358605415915372/user/586035346/,1,586035346
https://www.facebook.com/groups/358605415915372/user/591556835/,1,591556835
https://www.facebook.com/groups/796966840881012/user/599645141/,1,599645141
https://www.facebook.com/groups/358605415915372/user/607990705/,1,607990705
https://www.facebook.com/groups/358605415915372/user/643188195/,1,643188195
https://www.facebook.com/groups/358605415915372/user/651916768/,1,651916768
https://www.facebook.com/groups/796966840881012/user/666680338/,1,666680338
https://www.facebook.com/groups/358605415915372/user/672913243/,1,672913243
https://www.facebook.com/groups/358605415915372/user/673324159/,1,673324159
https://www.facebook.com/groups/358605415915372/user/687314519/,1,687314519
https://www.facebook.com/groups/358605415915372/user/703660855/,1,703660855
https://www.facebook.com/groups/796966840881012/user/737693686/,1,737693686
https://www.facebook.com/groups/358605415915372/user/743227875/,1,743227875
https://www.facebook.com/groups/796966840881012/user/756574338/,1,756574338
https://www.facebook.com/groups/796966840881012/user/765838461/,1,765838461
https://www.facebook.com/groups/796966840881012/user/770663824/,1,770663824
https://www.facebook.com/groups/358605415915372/user/771633620/,1,771633620
https://www.facebook.com/groups/796966840881012/user/774779946/,1,774779946
https://www.facebook.com/groups/358605415915372/user/815081389/,1,815081389
https://www.facebook.com/groups/796966840881012/user/1016216337/,0,1016216337
https://www.facebook.com/groups/796966840881012/user/1065680949/,1,1065680949
https://www.facebook.com/groups/358605415915372/user/1103973898/,1,1103973898
https://www.facebook.com/groups/358605415915372/user/1129960842/,1,1129960842
https://www.facebook.com/groups/796966840881012/user/1140878302/,1,1140878302
https://www.facebook.com/groups/358605415915372/user/1185445258/,1,1185445258
https://www.facebook.com/groups/358605415915372/user/1199515535/,1,1199515535
https://www.facebook.com/groups/796966840881012/user/1208498039/,1,1208498039
https://www.facebook.com/groups/796966840881012/user/1209477835/,1,1209477835
https://www.facebook.com/groups/358605415915372/user/1218372989/,1,1218372989
https://www.facebook.com/groups/796966840881012/user/1249364275/,1,1249364275
https://www.facebook.com/groups/358605415915372/user/1258759159/,1,1258759159
https://www.facebook.com/groups/358605415915372/user/1279237620/,1,1279237620
https://www.facebook.com/groups/358605415915372/user/1282785480/,1,1282785480
https://www.facebook.com/groups/358605415915372/user/1302311695/,1,1302311695
https://www.facebook.com/groups/358605415915372/user/1326542471/,0,1326542471
https://www.facebook.com/groups/796966840881012/user/1353305647/,1,1353305647
https://www.facebook.com/groups/358605415915372/user/1457515445/,0,1457515445
https://www.facebook.com/groups/358605415915372/user/1461796565/,1,1461796565
https://www.facebook.com/groups/358605415915372/user/1500820786/,0,1500820786
https://www.facebook.com/groups/358605415915372/user/1525004813/,1,1525004813
https://www.facebook.com/groups/358605415915372/user/1585756775/,0,1585756775
https://www.facebook.com/groups/796966840881012/user/1593792095/,1,1593792095
https://www.facebook.com/groups/358605415915372/user/1608444694/,0,1608444694
