Link,Status
https://www.facebook.com/groups/796966840881012/permalink/1737874780123542/,1
https://www.facebook.com/groups/358605415915372/permalink/1156889739420265/,1
https://www.facebook.com/groups/796966840881012/permalink/1738054310105589/,1
https://www.facebook.com/groups/358605415915372/permalink/1156888946087011/,1
https://www.facebook.com/groups/796966840881012/permalink/1738476880063332/,1
https://www.facebook.com/groups/796966840881012/permalink/1739418703302483/,1
https://www.facebook.com/groups/358605415915372/permalink/1156885626087343/,1
https://www.facebook.com/groups/796966840881012/permalink/1257234374854254/,1
https://www.facebook.com/groups/358605415915372/permalink/1156875749421664/,1
https://www.facebook.com/groups/796966840881012/permalink/1737097663534587/,1
https://www.facebook.com/groups/358605415915372/permalink/1156826096093296/,1
https://www.facebook.com/groups/796966840881012/permalink/1722571548320532/,1
https://www.facebook.com/groups/358605415915372/permalink/1156858999423339/,1
https://www.facebook.com/groups/796966840881012/permalink/1721246345119719/,1
https://www.facebook.com/groups/358605415915372/permalink/1156858732756699/,1
https://www.facebook.com/groups/796966840881012/permalink/1719870225257331/,1
https://www.facebook.com/groups/358605415915372/permalink/1151194343323138/,1
https://www.facebook.com/groups/796966840881012/permalink/1719610325283321/,1
https://www.facebook.com/groups/358605415915372/permalink/1156818529427386/,1
https://www.facebook.com/groups/358605415915372/permalink/1156818439427395/,1
https://www.facebook.com/groups/796966840881012/permalink/1568135327097489/,0
https://www.facebook.com/groups/358605415915372/permalink/1156802969428942/,1
https://www.facebook.com/groups/796966840881012/permalink/1567242570520098/,1
https://www.facebook.com/groups/358605415915372/permalink/1156740519435187/,1
https://www.facebook.com/groups/358605415915372/permalink/1156742136101692/,1
https://www.facebook.com/groups/796966840881012/permalink/1323107831600241/,1
https://www.facebook.com/groups/358605415915372/permalink/1156758152766757/,1
https://www.facebook.com/groups/796966840881012/permalink/1363096224268068/,1
https://www.facebook.com/groups/358605415915372/permalink/1156715512771021/,1
https://www.facebook.com/groups/796966840881012/permalink/1377146882863002/,1
https://www.facebook.com/groups/358605415915372/permalink/1149422733500299/,0
https://www.facebook.com/groups/796966840881012/permalink/1090800351497658/,1
https://www.facebook.com/groups/358605415915372/permalink/1156700742772498/,1
https://www.facebook.com/groups/796966840881012/permalink/1081364092441284/,1
https://www.facebook.com/groups/358605415915372/permalink/1156699359439303/,1
https://www.facebook.com/groups/358605415915372/permalink/1156693916106514/,1
https://www.facebook.com/groups/358605415915372/permalink/1156677549441484/,1
https://www.facebook.com/groups/796966840881012/permalink/1317529972158027/,1
https://www.facebook.com/groups/358605415915372/permalink/1156673229441916/,1
https://www.facebook.com/groups/358605415915372/permalink/1156670852775487/,1
https://www.facebook.com/groups/796966840881012/permalink/1317534188824272/,0
https://www.facebook.com/groups/358605415915372/permalink/1156647062777866/,1
https://www.facebook.com/groups/358605415915372/permalink/1156633189445920/,0
https://www.facebook.com/groups/358605415915372/permalink/1156621179447121/,1
https://www.facebook.com/groups/796966840881012/permalink/1319143211996703/,0
https://www.facebook.com/groups/358605415915372/permalink/1129784475464125/,1
https://www.facebook.com/groups/358605415915372/permalink/1156617952780777/,0
https://www.facebook.com/groups/358605415915372/permalink/1156617359447503/,1
https://www.facebook.com/groups/796966840881012/permalink/1087679525143074/,0
https://www.facebook.com/groups/358605415915372/permalink/1156604279448811/,1
https://www.facebook.com/groups/796966840881012/permalink/1237202156857476/,0
https://www.facebook.com/groups/796966840881012/permalink/1233243293920029/,1
https://www.facebook.com/groups/796966840881012/permalink/1076993699544990/,0
https://www.facebook.com/groups/796966840881012/permalink/1237428800168145/,1
https://www.facebook.com/groups/358605415915372/permalink/1157391262703446/,0
https://www.facebook.com/groups/358605415915372/permalink/1157065806069325/,1
https://www.facebook.com/groups/358605415915372/permalink/1157375102705062/,0
https://www.facebook.com/groups/358605415915372/permalink/1157375069371732/,1
https://www.facebook.com/groups/358605415915372/permalink/1157370572705515/,0
https://www.facebook.com/groups/358605415915372/permalink/1157369519372287/,1
https://www.facebook.com/groups/358605415915372/permalink/1157366966039209/,0
https://www.facebook.com/groups/358605415915372/permalink/1157357639373475/,1
https://www.facebook.com/groups/358605415915372/permalink/1157066722735900/,0
https://www.facebook.com/groups/358605415915372/permalink/1157333049375934/,1
https://www.facebook.com/groups/358605415915372/permalink/1157329582709614/,0
https://www.facebook.com/groups/358605415915372/permalink/1157325702710002/,1
https://www.facebook.com/groups/358605415915372/permalink/1157312499377989/,0
https://www.facebook.com/groups/358605415915372/permalink/1157308432711729/,1
https://www.facebook.com/groups/358605415915372/permalink/1157300562712516/,0
https://www.facebook.com/groups/358605415915372/permalink/1157293316046574/,1
https://www.facebook.com/groups/358605415915372/permalink/1157189202723652/,0
https://www.facebook.com/groups/358605415915372/permalink/1157178179391421/,1
https://www.facebook.com/groups/358605415915372/permalink/1157156886060217/,0
https://www.facebook.com/groups/358605415915372/permalink/1157130359396203/,1
https://www.facebook.com/groups/358605415915372/permalink/1157091146066791/,0
https://www.facebook.com/groups/358605415915372/permalink/1157078906068015/,1
https://www.facebook.com/groups/358605415915372/permalink/1157042462738326/,0
https://www.facebook.com/groups/358605415915372/permalink/1156927169416522/,1
https://www.facebook.com/groups/358605415915372/permalink/1156905676085338/,0
https://www.facebook.com/groups/358605415915372/permalink/1156901492752423/,1
https://www.facebook.com/groups/358605415915372/permalink/1156878959421343/,0
https://www.facebook.com/groups/358605415915372/permalink/1156866319422607/,1
